"Header";"English";"Chinese";"Malay"
"dashboard#Job_will_expire_on_01_Jun_2022";"Job will expire on 01 Jun 2022";"职位将于2022年6月1日到期";"Kerja akan tamat pada 01 Jun 2022"
"dashboard#Are_you_sure_you_want_to";"Are you sure you want to";"是否确实";"Adakah anda pasti mahu "
"dashboard#deactivate";" deactivate ";"要停止";" menyahaktifkan "
"dashboard#repost";" repost ";"重发布";" menyiarkan semula "
"dashboard#this_job";"this job";"这工作";"kerja ini"
"dashboard#You_have_successfully";"You've successfully";"成功";"Anda telah berjaya "
"insert_update_job#cho_employment_type";"Choose employment type(s)";"选择就业类型";"Pilih jenis pekerjaan"
"insert_update_job#emp_typ";"Employment Type";"就业类型";"Jenis pekerjaan"
"insert_update_job#ft";"Full Time (Monthly)";"全职(每月)";"Kerja Tetap (bulan)"
"insert_update_job#pt";"Part Time (Hourly)";"兼职(每小时)";"Kerja sambilan (jam)"
"insert_update_job#con";"Contract (Monthly)";"合同(每月)";"Contract (bulan)"
"insert_update_job#contract_length";"Select contract length";"选择合同期限";"Pilih tempoh contract"
"insert_update_job#contract_length_preview";"Contract length";"合同期限";"Tempoh contract"
"insert_update_job#ft_per_mth";"Full-time";"全职(每月)";"pekerjaan kerja tetap sebulan"
"insert_update_job#pt_per_mth";"Part-time";"兼职(每月)";"kerja sambilan sebulan"
"insert_update_job#pt_hr";"Part-time";"全职(每小时)";"sambilan (sejam)"
"insert_update_job#job_title";"Select a job position";"选择一个职位";"Tajuk pekerjaan"
"insert_update_job#num_of_hire";"Number of vacancies";"这个职位有多少人";"Berapa orang untuk jawatan ini"
"insert_update_job#salary_offer";"Salary";"薪资待遇";"Tawaran gaji"
"insert_update_job#minGtMaxErr";"Minimum salary cannot be more than maximum salary";"最低工资不能超过最高工资";"Gaji minimum tidak boleh melebihi gaji maksimum"
"insert_update_job#minFTSalaryErr";"Minimum salary should be at least 1200";"最低工资不能低于1200";"Gaji minimum hendaklah sekurang-kurangnya 1200"
"insert_update_job#required_msg1";"Fill in the same if range is not applicable";"如果范围不适用，则填写相同";"Isi sama jika julat tidak berkenaan"
"insert_update_job#min";"Minimum";"最低";"Minimum"
"insert_update_job#max";"Maximum";"最高";"Maksimum"
"insert_update_job#work_loc";"Work location(s)";"工作地点";"Lokasi kerja"
"insert_update_job#cho_work_loc";"Choose work location(s)";"选择工作地点";"Pilih lokasi kerja"
"insert_update_job#sel_indus";"Select Industry";"选择行业";"Pilih Industri"
"insert_update_job#new_job";"New Job Position";"新职位";"Jawatan baru"
"insert_update_job#job_desc_header";"Select the language to post in";"选择工作发布语言";"Pilih bahasa untuk disiarkan"
"insert_update_job#job_description";"Description";"工作职责";"Deskripsi Kerja"
"insert_update_job#clear";"clear";"清除";"Jelas"
"insert_update_job#indi_sal";"Please indicate the salary range";"请标志工资范围";"Sila tunjukkan julat gaji"
"insert_update_job#sal_rang";"Salary range";"工资范围";"Purata gaji"
"insert_update_job#sal_msg";"If there's no salary range, fill in the same number for both fields";"如果没工资范围, 填写相同数字";"Jika tiada julat gaji, isikan nombor yang sama untuk kedua-dua tempat"
"insert_update_job#hide_sal_chkbox";"If you do not wish for jobseekers to know the salaries, please tick the checkbox below";"如果你不希望求职者知道工资,请勾选下面的复选框";"Jika anda tidak mahu pencari kerja mengetahui gaji, sila tandakan kotak pilihan di bawah"
"insert_update_job#hide_sal_msg1";"It is highly recommended to indicate salary range to allow for transparency to job seekers.";"为了向求职者提高工作透明度, 强烈建议雇主显示工资范围";"Adalah sangat disyorkan untuk menunjukkan julat gaji untuk membolehkan ketelusan kepada pencari kerja."
"insert_update_job#hide_sal_msg2";"By clicking ""Confirm"", you are confirming the intent to hide the salary range from potential job seekers.";"您正在确认有意向求职者隐藏工资范围,单击确认继续";"Dengan mengklik ""Sahkan"", anda mengesahkan niat untuk menyembunyikan julat gaji daripada pencari kerja yang berpotensi."
"insert_update_job#cfm_hide";"I'd like to hide the salary range";"我想藏工资范围";"Saya ingin menyembunyikan julat gaji"
"insert_update_job#ack";"Acknowledgement";"确认";"Pengakuan"
"insert_update_job#cfm";"Confirm";"确认";"Sahkan"
"insert_update_job#add_m_loc";"Add more location";"加更多地点";"Tambah lagi lokasi"
"insert_update_job#new_loc";"New working location";"新工作地点";"Lokasi kerja baru"
"insert_update_job#postal";"Postal Code";"邮政编码";"Poskod"
"insert_update_job#choose_sec_code";"Choose sector code";"选择部门号码";"Pilih kod sektor"
"insert_update_job#inv_pos";"Invalid Postal Code";"邮编号码错误";"Poskod Tidak Sah"
"insert_update_job#edit_add";"Edit Address";"更改地址";"Ubah alamat"
"insert_update_job#q1";"Do you have questions for jobseekers?";"您有问题问求职者吗?";"Adakah anda ada soalan untuk pencari kerja?"
"insert_update_job#q2";"Do you have more questions?";"您还有其它问题吗";"Adakah anda mempunyai soalan selanjutnya?"
"insert_update_job#add_more_q";"Add more question(s)";"加问题";"Tambahkan lagi soalan"
"insert_update_job#vi_my_q";"View my question(s)";"查看我的问题";"Semak soalan"
"insert_update_job#previ_jp";"Preview job posting";"预览职位发布";"Pratonton jawatan kerja"
"insert_update_job#ch_q_type";"Select a question type";"选择问题类型";"Pilih (1) jenis soalan"
"insert_update_job#ch_op";"Choose an option";"选一";"Memilih pilihan"
"insert_update_job#my_q";"My question(s)";"我的问题";"Soalan saya"
"insert_update_job#your_q";"Your question";"您的问题";"soalan anda"
"insert_update_job#screen_q";"Screening questions";"面试问题";"Soalan saringan"
"insert_update_job#cus_ans_header";"Insert your answer options";"输入您的答案选项";"Masukkan jawapan anda"
"insert_update_job#cus_ans_mul";"You may insert multiple answers";"您可以输入多过一个答案";"Anda boleh memasukkan berbilang jawapan"
"insert_update_job#add_ans";"Add new answer";"加新答案";"Tambahkan jawapan baru"
"insert_update_job#your_ans";"Your answer";"你的答案";"Jawapan anda"
"insert_update_job#job_pos";"Job position";"工作职位";"Jawatan kerja"
"insert_update_job#indus";"Industry";"行业";"Industri"
"insert_update_job#vaca";"Vacancy";"职位空缺";"Berbagai Jawatan kosong"
"insert_update_job#pos_posted";"{{translTitle}} position has been ";"{{translTitle}}职位已";"Jawatan {{translTitle}} "
"insert_update_job#jp_active_3mo";"Job post will be active for 3 months";"职位将持续3个月";"Jawatan kerja akan aktif selama 3 bulan"
"insert_update_job#redir_5s";"You will be redirected in 5 seconds";"您将在5秒内跳转到首页";"Anda akan diubah hala dalam 5 saat"
"insert_update_job#open_to_the_following";"Are you open to consider the following for this job";"你会考虑聘请以下人士吗？";"Adakah anda akan mempertimbangkan untuk pengambilan pekerjaan berikut?"
"insert_update_job#pwd";"PWDs (Persons with Disabilities)";"残障人士";"PWDs (Persons with Disabilities)"
"insert_update_job#senior";"Active senior";"活跃乐陵";"Senior"
"insert_update_job#open_to_the_following_2";"Open to the following";"愿意聘请";"Terbuka kepada kumpulan berikut"
"insert_update_job#select_nearest_mrt";"Select nearest MRT";"选择最靠近的地铁站";"Pilih MRT yang terdekat"
"insert_update_job#nearest_mrt";"Nearest MRT";"最靠近的地铁站";"MRT terdekat"
"insert_update_job#multiple_locations";"Multiple locations";"多个地点";"Berbilang lokasi"
"insert_update_job#month";"Month";"个月";"Bulan"
"insert_update_job#months";"Months";"个月";"Bulan"
"insert_update_job#year";"Year";"年";"Tahun"
"insert_update_job#2_years";"2 Years";"两年";"2 Tahun"
"insert_update_job#Question_Type";"Question Type";"问题类型";"Jenis soalan"
"insert_update_job#Yes_No";"Yes / No";"有 / 没有";"Ya / No"
"insert_update_job#Job_details";"Job Details";"工作详情";"Butiran kerja"
"root#404";"Page not found";"页面不存在";"Laman tidak ditemui"
"root#dashboard";"Dashboard";"查看仪表板";"Dasbor"
"root#post_job";"Post Job";"发布工作";"Pos Jawatan"
"root#all_jobs";"All Jobs";"所有工作";"Semua Kerja"
"root#status_up";"Update Status";"更改状态";"Kemaskini Status"
"root#settings";"Settings";"设置";"Seting"
"root#job_seek";"Job Seekers";"求职者";"Pencari kerja"
"root#employer";"Employer";"雇主";"Majikan"
"root#appl_status";"Application Status";"申请状态";"Status permohonan"
"root#menu";"Menu";"菜单";"Menu"
"root#req_f";"Required field";"必填項目";"medan yang diperlukan"
"root#skip_f_n";"Skip for now";"跳过";"Melangkau halaman ini"
"root#mul_sel";"Multiple selection";"多项选择";"Pelbagai pilihan"
"root#loading";"Loading...";"加载中...";"Loading..."
"root#add";"Add";"加";"Tambah"
"root#yes";"Yes";"是";"Ya"
"root#short_ans";"Short answer";"简短回答";"Jawapan pendek"
"root#no";"No";"否";"No"
"root#checkbox";"Checkboxes";"复选框";"Checkboxes"
"root#rm";"Remove";"删";"Hapus"
"root#posted";"posted";"发布";"disiarkan"
"root#updated";"updated";"更改";"dikemas kini"
"root#submit";"Submit";"提交";"Hantar"
"root#skip";"Skip";"跳过";"Langkau"
"root#upload";"Upload";"上传";"Muat Naik"
"root#err_msg";"Something went wrong. Please try again";"出了点问题，请重试";"Ada sesuatu yang tidak kena. Sila cuba lagi"
"root#edit";"Edit";"更改";"Ubah"
"root#home";"Home";"返回";"Rumah"
"root#full_time";"Full Time";"全职";"Kerja Tetap"
"root#part_time";"Part Time";"兼职";"Kerja Sambilan"
"root#contract";"Contract";"合同";"Contract"
"root#Question";"Question";"问题";"Soalan"
"root#Jobs_at_se";"Jobs @ South East";"工作 @ 东南区";"Peluang Pekerjaan @ South East"
"root#All";"All";"所有求职者";"Semua"
"data#start";"Start date";"开始日期";"Tarikh mula"
"data#end";"End date";"结束日期";"Tarikh tamat"
"data#dl";"Download";"下载";"Muat turun"
"data#err_msg";"No data found for the given dates";"这日期之间未找到资料";"Tiada data ditemui untuk tarikh yang diberikan"
"applicants#exp_on";"Expire on ";"工作到期日 ";"Tamat tempoh pada "
"applicants#appl_on";"Applied on ";"申请日期 ";"Digunakan pada on "
"applicants#repos";"Repost";"重发布";"Repost"
"applicants#repos_h";"Repost Job";"重发布工作";"Repost Kerja"
"applicants#repos_msg";"This position has now been reposted";"这职位已重新发布";"Jawatan ini kini telah disiarkan semula"
"applicants#acti";"Activate";"启动";"Aktifkan"
"applicants#acti_h";"Activate Job";"启动工作";"Aktifkan kerja"
"applicants#acti_msg";"This position has now been activated";"这职位已启动";"Jawatan ini kini telah aktif"
"applicants#deacti";"Deactivate";"停止";"Nyahaktifkan"
"applicants#deacti_h";"Deactivate Job";"停止工作";"Nyahaktifkan kerja"
"applicants#deacti_msg";"This position has now been deactivated";"这职位已停止";"Jawatan ini kini tidak aktif"
"applicants#ok";"Got it";"好的";"Mengesahkan"
"applicants#no_appli";"No applicant(s)";"无求职者";"Tiada pemohon"
"applicants#shortlisted";"Shortlisted";"入围";"Disenarai pendek"
"applicants#inprog";"In Progress";"进行中";"Sedang berlangsung"
"applicants#succe";"Successful";"成功";"Berjaya"
"applicants#unsucce";"Unsuccessful";"不成功";"Tak berjaya"
"applicants#pend";"Pending";"还没观看求职者";"Pending"
"applicants#viewed";"Viewed";"已观看";"Dilihat"
"applicants#view_pro";"View profile";"观看求职者资料";"Lihat profil"
"applicants#New_Applicants";"New Applicants";"新求职者";"Pemohon baru"
"pro#header";"Personal Details";"求职者资料";"Butiran peribadi"
"pro#lives";"Lives in ";"住在 ";"Hidup dalam "
"pro#js_exp";"My Experiences";"经验";"Pengalaman"
"pro#lt1y_exp";"Less than a year of experience";"不到一年经验";"Pengalaman kurang setahun"
"pro#1y_exp";"A year of experience";"一年经验";"Setahun pengalaman"
"pro#y_exp";" years of experience";" 年经验";" tahun pengalaman"
"pro#js_ans";"My Answers";"答案";"Jawapan"
"pro#js_cv";"My Resume/CV";"简历";"Resume/CV"
"pro#unlck_js";"Contact Applicant";"联系候选人";"Hubungi Pemohon"
"pro#call";"Call";"打电话";"telefon"
"pro#whtsap";"Whatsapp";"Whatsapp";"Whatsapp"
"pro#sms";"SMS";"短信";"SMS"
"pro#resume";"Resume/CV Download";"简历下载";"Muat turun resume"
"pro#cont_info";"Contact Information";"联系方式";"Maklumat Perhubungan"
"pro#dl";"Download";"下载";"Muat turun"
"status_up#header";"Status Update";"状态更新";"Kemaskini Status"
"status_up#shortlisted";"Shortlisted";"入围";"Disenarai pendek"
"status_up#inprog";"In Progress";"进行中";"Sedang berlangsung"
"status_up#succe";"Successful";"成功";"Berjaya"
"status_up#unsucce";"Unsuccessful";"不成功";"Tak berjaya"
"status_up#unlocked";"Unlocked";"解锁";"Tidak berkunci"
"status_up#more_info";"More info";"更多详情";"Maklumat lebih lanjut"
"status_up#ty";"Thank you";"谢谢";"Terima kasih"
"status_up#close";"Close";"关闭";"Dekat"
"status_up#last_up";"Last updated on ";"最后更新, ";"Dikemaskini pada, "
"status_up#no_cand_yet";"No candidates yet";"无求职者";"Tiada calon"
"status_up#sub_head";"Please update the status of this application";"请更新此申请状态";"Sila kemaskini status permohonan ini"
"status_up#feedb_sub";"Your feedback is submitted";"您的建议已提交";"Maklum balas anda telah dihantar"
"status_up#succe_msg";"This application is successful, please fill in the following";"本申请成功，请填写以下内容";"Permohonan ini berjaya, sila isikan perkara berikut"
"status_up#sal_offer";"Salary";"薪资";"Gaji"
"status_up#unsucce_msg";"Please provide the reason(s) for this unsuccessful application";"请填写求职不成功的原因";"Sila berikan sebab permohonan yang tidak berjaya ini"
"status_up#start_d";"Start Date";"开工日期";"Tarikh mula"
"status_up#unsucce_reason";"Reason(s) for unsuccessful application";"求职不成功的原因";"Sebab permohonan gagal"
"status_up#by";"by";"由";"oleh"
"status_up#amount";"amount";"数字";"nombor"
"set#com";"Company";"公司";"Syarikat"
"set#acc";"Accounts";"账户";"Akaun"
"set#com_det";"Company Details";"公司详情";"Butiran syarikat"
"set#com_name";"Company Name";"公司名字";"Nama syarikat"
"set#all_work_loc";"All working location(s)";"所有工作地点";"Semua lokasi kerja"
"set#add_loc";"Add location";"加工作地点";"Tambah lokasi"
"set#com_det_upd";"Company details updated";"公司详情已更新";"Butiran syarikat dikemas kini"
"set#upd_chgs";"Update changes";"更改";"Kemas kini perubahan"
"set#work_loc";"Work location";"工作地点";"Lokasi kerja"
"acc#log_det";"Login Details";"登录详情";"Butiran log masuk"
"acc#email";"Email Address";"电子邮件";"Alamat e-mel"
"acc#add_u";"Add User";"加用户";"Tambah pengguna"
"acc#pass";"Password";"密码";"Kata laluan"
"acc#new_pass";"New password";"新密码";"Kata laluan baru"
"acc#fgt_pass";"Forgot password";"忘记密码";"Terlupa kata laluan"
"acc#cfm_pass";"Confirm password";"确认密码";"Mengesahkan kata laluan"
"acc#pass_chged";"Password changed";"密码已更改";"Kata laluan ditukar"
"acc#chg_pass";"Change password";"改密码";"Tukar kata laluan"
"acc#role";"Role";"角色";"Peranan"
"acc#u_added";"User added";"加用户成功";"Pengguna ditambah"
"acc#email_tkn";"Email Address taken";"电子邮件已存在";"Alamat e-mel diambil"
"otpVerify#err_msg1";"Did not receive? Resend Code";"没有收到？重新发送验证码";"tidak menerima? hantar semula kod"
"otpVerify#err_msg2";"Verification code is invalid. Please try again";"验证码无效。请再试一次";"kod pengesahan tidak sah. Sila cuba lagi"
"header#dashboard";"Dashboard";"仪表板";"Dasbor"
"header#post_job";"Post Job";"发布工作";"Pos jawatan"
"header#logout";"Log out";"登出";"Log Keluar"
"footer#next";"Next";"下一步";"Seterusnya"
"footer#back";"Back";"前一步";"Kembali"
